qPCR,well,sample,CTD cast,Niskin,depth,comments,drop.sample,IPC_Ct,inhibition_rate,discard,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul
H22_01,K18,52462-083,A1_500,5,300,"Regular Cups, 1st Niskin",,27.042,0.08,,,,32.679,6.012,Undetermined,,Undetermined,
H22_02,G4,52463-007,A1_500,5,300,"Regular Cups, Repeat Niskin",,26.394,0.074,,,,33.085,4.978,Undetermined,,Undetermined,
H22_02,G5,52463-007,A1_500,5,300,"Regular Cups, Repeat Niskin",,26.253,-0.067,,,,33.997,2.576,Undetermined,,Undetermined,
H22_02,G6,52463-007,A1_500,5,300,"Regular Cups, Repeat Niskin",,26.072,-0.248,,,,32.265,9,Undetermined,,Undetermined,
H22_02,H4,52463-008,A1_500,5,300,Sodium Thiosulfate Cups,,26.397,0.077,,,,33.195,4.599,Undetermined,,Undetermined,
H22_02,H5,52463-008,A1_500,5,300,Sodium Thiosulfate Cups,,26.357,0.037,,,,33.756,3.066,Undetermined,,Undetermined,
H22_02,H6,52463-008,A1_500,5,300,Sodium Thiosulfate Cups,,26.171,-0.149,,,,33.322,4.196,Undetermined,,Undetermined,
H22_01,P16,52462-088,A1_500,10,50,"Regular Cups, 1st Niskin",,26.927,-0.035,,,,33.123,4.367,Undetermined,,Undetermined,
H22_01,P17,52462-088,A1_500,10,50,"Regular Cups, 1st Niskin",,27.219,0.257,,,,33.857,2.572,Undetermined,,Undetermined,
H22_01,P18,52462-088,A1_500,10,50,"Regular Cups, 1st Niskin",,26.986,0.024,,,,33.201,4.128,Undetermined,,Undetermined,
H22_02,A7,52463-009,A1_500,10,50,Sodium Thiosulfate Cups,,26.382,0.062,,,,33.401,3.962,34.628,0.753,Undetermined,
H22_02,A8,52463-009,A1_500,10,50,Sodium Thiosulfate Cups,,26.292,-0.028,,,,37.856,0.159,37.546,0.089,Undetermined,
H22_02,A9,52463-009,A1_500,10,50,Sodium Thiosulfate Cups,,26.425,0.105,,,,34.035,2.507,35.349,0.444,Undetermined,
H22_01,I19,52462-089,A1_500,11,50,"Regular Cups, 1st Niskin",,26.992,0.03,,,,32.396,7.374,Undetermined,,39.908,0.045
H22_01,I20,52462-089,A1_500,11,50,"Regular Cups, 1st Niskin",,27.065,0.103,,,,32.697,5.935,Undetermined,,Undetermined,
H22_01,I21,52462-089,A1_500,11,50,"Regular Cups, 1st Niskin",,27.019,0.057,,,,32.258,8.146,Undetermined,,Undetermined,
H22_02,B7,52463-010,A1_500,11,50,Sodium Thiosulfate Cups,,26.445,0.125,,,,34.63,1.627,Undetermined,,Undetermined,
H22_02,B8,52463-010,A1_500,11,50,Sodium Thiosulfate Cups,,26.368,0.048,,,,35.18,1.098,Undetermined,,Undetermined,
H22_02,B9,52463-010,A1_500,11,50,Sodium Thiosulfate Cups,,26.463,0.143,,,,33.43,3.894,Undetermined,,Undetermined,
H22_01,L19,52462-092,A1_800,2,500,"Regular Cups, 1st Niskin",,27.108,0.146,,,,32.546,6.619,Undetermined,,Undetermined,
H22_01,L20,52462-092,A1_800,2,500,"Regular Cups, 1st Niskin",,27.172,0.21,,,,33.697,2.887,Undetermined,,Undetermined,
H22_01,L21,52462-092,A1_800,2,500,"Regular Cups, 1st Niskin",,26.942,-0.02,,,,33.026,4.682,Undetermined,,Undetermined,
H22_02,C7,52463-011,A1_800,2,500,"Regular Cups, Repeat Niskin",,26.497,0.177,,,,33.612,3.402,Undetermined,,Undetermined,
H22_02,C8,52463-011,A1_800,2,500,"Regular Cups, Repeat Niskin",,26.493,0.173,,,,32.459,7.824,Undetermined,,Undetermined,
H22_02,C9,52463-011,A1_800,2,500,"Regular Cups, Repeat Niskin",,26.528,0.208,,,,33.661,3.284,Undetermined,,Undetermined,
H22_02,D7,52463-012,A1_800,2,500,Sodium Thiosulfate Cups,,26.315,-0.005,,,,33.061,5.066,Undetermined,,Undetermined,
H22_02,D8,52463-012,A1_800,2,500,Sodium Thiosulfate Cups,,26.362,0.042,,,,32.657,6.78,Undetermined,,Undetermined,
H22_02,D9,52463-012,A1_800,2,500,Sodium Thiosulfate Cups,,26.486,0.166,,,,34.81,1.432,Undetermined,,Undetermined,
H22_01,M19,52462-093,A1_800,3,500,"Regular Cups, 1st Niskin",,27.169,0.207,,,,31.916,10.424,Undetermined,,Undetermined,
H22_01,M20,52462-093,A1_800,3,500,"Regular Cups, 1st Niskin",,27.091,0.129,,,,32.457,7.057,Undetermined,,Undetermined,
H22_01,M21,52462-093,A1_800,3,500,"Regular Cups, 1st Niskin",,27.024,0.062,,,,32.445,7.119,Undetermined,,Undetermined,
H22_02,E7,52463-013,A1_800,3,500,"Regular Cups, Repeat Niskin",,26.282,-0.038,,,,32.173,9.617,Undetermined,,Undetermined,
H22_02,E8,52463-013,A1_800,3,500,"Regular Cups, Repeat Niskin",,26.32,0,,,,33.396,3.977,Undetermined,,Undetermined,
H22_02,E9,52463-013,A1_800,3,500,"Regular Cups, Repeat Niskin",,26.359,0.039,,,,34.634,1.626,Undetermined,,Undetermined,
H22_02,F7,52463-014,A1_800,3,500,Sodium Thiosulfate Cups,,26.326,0.006,,,,32.931,5.566,Undetermined,,Undetermined,
H22_02,F8,52463-014,A1_800,3,500,Sodium Thiosulfate Cups,,26.199,-0.121,,,,33.078,5.003,Undetermined,,Undetermined,
H22_02,F9,52463-014,A1_800,3,500,Sodium Thiosulfate Cups,,26.308,-0.012,,,,32.448,7.887,Undetermined,,Undetermined,
H22_01,N19,52462-094,A1_800,4,300,"Regular Cups, 1st Niskin",,27.099,0.137,,,,31.361,15.546,Undetermined,,Undetermined,
H22_01,N20,52462-094,A1_800,4,300,"Regular Cups, 1st Niskin",,26.986,0.024,,,,31.787,11.439,Undetermined,,Undetermined,
H22_01,N21,52462-094,A1_800,4,300,"Regular Cups, 1st Niskin",,27.015,0.053,,,,31.795,11.372,Undetermined,,Undetermined,
H22_02,G7,52463-015,A1_800,4,300,"Regular Cups, Repeat Niskin",,26.236,-0.084,,,,29.801,53.345,Undetermined,,Undetermined,
H22_02,G8,52463-015,A1_800,4,300,"Regular Cups, Repeat Niskin",,26.164,-0.156,,,,29.95,47.922,Undetermined,,Undetermined,
H22_02,G9,52463-015,A1_800,4,300,"Regular Cups, Repeat Niskin",,26.494,0.174,,,,30.072,43.872,Undetermined,,Undetermined,
H22_02,H7,52463-016,A1_800,4,300,Sodium Thiosulfate Cups,,26.155,-0.165,,,,30.709,27.685,Undetermined,,Undetermined,
H22_02,H8,52463-016,A1_800,4,300,Sodium Thiosulfate Cups,,26.202,-0.118,,,,31.231,18.987,Undetermined,,Undetermined,
H22_02,H9,52463-016,A1_800,4,300,Sodium Thiosulfate Cups,,26.415,0.095,,,,31.599,14.565,Undetermined,,Undetermined,
H22_02,N4,52462-095,A1_800,5,300,"Regular Cups, 1st Niskin",,26.197,-0.123,,,,29.418,70.356,Undetermined,,Undetermined,
H22_02,N5,52462-095,A1_800,5,300,"Regular Cups, 1st Niskin",,26.394,0.074,,,,29.511,65.792,Undetermined,,Undetermined,
H22_02,N6,52462-095,A1_800,5,300,"Regular Cups, 1st Niskin",,26.173,-0.147,,,,29.321,75.455,Undetermined,,Undetermined,
H22_02,A10,52463-017,A1_800,5,300,"Regular Cups, Repeat Niskin",,26.458,0.138,,,,32.114,10.038,Undetermined,,Undetermined,
H22_02,A11,52463-017,A1_800,5,300,"Regular Cups, Repeat Niskin",,26.337,0.017,,,,31.813,12.472,Undetermined,,Undetermined,
H22_02,A12,52463-017,A1_800,5,300,"Regular Cups, Repeat Niskin",,26.397,0.077,,,,32.16,9.708,Undetermined,,Undetermined,
H22_02,B10,52463-018,A1_800,5,300,Sodium Thiosulfate Cups,,26.405,0.085,,,,33.62,3.382,Undetermined,,Undetermined,
H22_02,B11,52463-018,A1_800,5,300,Sodium Thiosulfate Cups,,26.427,0.107,,,,34.32,2.048,Undetermined,,Undetermined,
H22_02,B12,52463-018,A1_800,5,300,Sodium Thiosulfate Cups,,26.401,0.081,,,,33.5,3.702,Undetermined,,Undetermined,
H22_03,D4,52462-100,A1_800,10,50,"Regular Cups, 1st Niskin",,26.27,0.043,,,,36.426,0.583,Undetermined,,Undetermined,
H22_03,D5,52462-100,A1_800,10,50,"Regular Cups, 1st Niskin",,26.302,0.075,,,,36.133,0.715,Undetermined,,Undetermined,
H22_03,D6,52462-100,A1_800,10,50,"Regular Cups, 1st Niskin",,26.346,0.119,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,C10,52463-019,A1_800,10,50,Sodium Thiosulfate Cups,,26.268,-0.052,,,,35.828,0.687,Undetermined,,Undetermined,
H22_02,C11,52463-019,A1_800,10,50,Sodium Thiosulfate Cups,,26.385,0.065,,,,37.617,0.189,Undetermined,,Undetermined,
H22_02,C12,52463-019,A1_800,10,50,Sodium Thiosulfate Cups,,26.349,0.029,,,,37.46,0.211,Undetermined,,Undetermined,
H22_03,E4,52462-101,A1_800,11,50,"Regular Cups, 1st Niskin, Bag spilled - <2.5L","Y, collection issue",26.317,0.09,,,,Undetermined,,Undetermined,,Undetermined,
H22_03,E5,52462-101,A1_800,11,50,"Regular Cups, 1st Niskin, Bag spilled - <2.5L","Y, collection issue",26.425,0.198,,,,Undetermined,,Undetermined,,Undetermined,
H22_03,E6,52462-101,A1_800,11,50,"Regular Cups, 1st Niskin, Bag spilled - <2.5L","Y, collection issue",26.369,0.142,,,,39.563,0.066,Undetermined,,40.123,0.06
H22_02,D10,52463-020,A1_800,11,50,"Regular Cups, Repeat Niskin",,26.43,0.11,,,,34.68,1.573,Undetermined,,Undetermined,
H22_02,D11,52463-020,A1_800,11,50,"Regular Cups, Repeat Niskin",,26.207,-0.113,,,,33.036,5.156,Undetermined,,Undetermined,
H22_02,D12,52463-020,A1_800,11,50,"Regular Cups, Repeat Niskin",,26.478,0.158,,,,34.308,2.059,Undetermined,,Undetermined,
H22_02,E10,52463-021,A1_800,11,50,Sodium Thiosulfate Cups,,26.418,0.098,,,,37.642,0.185,Undetermined,,Undetermined,
H22_02,E11,52463-021,A1_800,11,50,Sodium Thiosulfate Cups,,26.559,0.239,,,,37.445,0.214,Undetermined,,Undetermined,
H22_02,E12,52463-021,A1_800,11,50,Sodium Thiosulfate Cups,,26.45,0.13,,,,Undetermined,,Undetermined,,Undetermined,
H22_07,J13,52462-266,C6_500,1,470,"Regular Cups, 1st Niskin",,26.496,0.225,,,,36.737,0.458,Undetermined,,Undetermined,
H22_07,J14,52462-266,C6_500,1,470,"Regular Cups, 1st Niskin",,26.2,-0.071,,,,35.717,0.964,Undetermined,,Undetermined,
H22_07,J15,52462-266,C6_500,1,470,"Regular Cups, 1st Niskin",,26.245,-0.026,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,F10,52463-022,C6_500,1,500,"Regular Cups, Repeat Niskin",,26.293,-0.027,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,F11,52463-022,C6_500,1,500,"Regular Cups, Repeat Niskin",,26.276,-0.044,,,,34.334,2.02,Undetermined,,Undetermined,
H22_02,F12,52463-022,C6_500,1,500,"Regular Cups, Repeat Niskin",,26.252,-0.068,,,,35.893,0.655,Undetermined,,Undetermined,
H22_02,G10,52463-023,C6_500,1,500,Sodium Thiosulfate Cups,,26.355,0.035,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,G11,52463-023,C6_500,1,500,Sodium Thiosulfate Cups,,26.348,0.028,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,G12,52463-023,C6_500,1,500,Sodium Thiosulfate Cups,,25.986,-0.334,,,,35.083,1.175,41.037,0.007,42.581,0.008
H22_07,K13,52462-267,C6_500,2,470,"Regular Cups, 1st Niskin",,26.3,0.029,,,,37.28,0.308,Undetermined,,Undetermined,
H22_07,K14,52462-267,C6_500,2,470,"Regular Cups, 1st Niskin",,26.348,0.077,,,,35.287,1.319,Undetermined,,Undetermined,
H22_07,K15,52462-267,C6_500,2,470,"Regular Cups, 1st Niskin",,26.138,-0.133,,,,34.908,1.739,Undetermined,,Undetermined,
H22_02,H10,52463-024,C6_500,2,500,"Regular Cups, Repeat Niskin",,26.242,-0.078,,,,33.084,4.982,Undetermined,,Undetermined,
H22_02,H11,52463-024,C6_500,2,500,"Regular Cups, Repeat Niskin",,26.256,-0.064,,,,32.902,5.683,Undetermined,,37.808,0.24
H22_02,H12,52463-024,C6_500,2,500,"Regular Cups, Repeat Niskin",,26.403,0.083,,,,33.533,3.601,Undetermined,,Undetermined,
H22_02,A13,52463-025,C6_500,2,500,Sodium Thiosulfate Cups,,26.485,0.165,,,,33.841,2.883,Undetermined,,Undetermined,
H22_02,A14,52463-025,C6_500,2,500,Sodium Thiosulfate Cups,,26.351,0.031,,,,33.33,4.172,Undetermined,,Undetermined,
H22_02,A15,52463-025,C6_500,2,500,Sodium Thiosulfate Cups,,26.404,0.084,,,,38.25,0.119,Undetermined,,Undetermined,
H22_07,L13,52462-268,C6_500,3,300,"Regular Cups, 1st Niskin",,26.255,-0.016,,,,32.186,12.646,Undetermined,,Undetermined,
H22_07,L14,52462-268,C6_500,3,300,"Regular Cups, 1st Niskin",,26.229,-0.042,,,,33.617,4.456,Undetermined,,Undetermined,
H22_07,L15,52462-268,C6_500,3,300,"Regular Cups, 1st Niskin",,26.216,-0.055,,,,34.141,3.04,Undetermined,,Undetermined,
H22_02,B13,52463-026,C6_500,3,300,"Regular Cups, Repeat Niskin",,26.383,0.063,,,,33.179,4.65,Undetermined,,35.488,1.289
H22_02,B14,52463-026,C6_500,3,300,"Regular Cups, Repeat Niskin",,26.521,0.201,,,,33.391,3.992,Undetermined,,Undetermined,
H22_02,B15,52463-026,C6_500,3,300,"Regular Cups, Repeat Niskin",,26.325,0.005,,,,33.266,4.367,Undetermined,,Undetermined,
H22_02,C13,52463-027,C6_500,3,300,Sodium Thiosulfate Cups,,26.453,0.133,,,,34.77,1.48,Undetermined,,Undetermined,
H22_02,C14,52463-027,C6_500,3,300,Sodium Thiosulfate Cups,,26.364,0.044,,,,36.22,0.518,Undetermined,,Undetermined,
H22_02,C15,52463-027,C6_500,3,300,Sodium Thiosulfate Cups,,26.266,-0.054,,,,34.07,2.439,Undetermined,,Undetermined,
H22_07,M13,52462-269,C6_500,4,300,"Regular Cups, 1st Niskin",,26.304,0.033,,,,31.743,17.461,Undetermined,,Undetermined,
H22_07,M14,52462-269,C6_500,4,300,"Regular Cups, 1st Niskin",,26.224,-0.047,,,,32.536,9.798,Undetermined,,Undetermined,
H22_07,M15,52462-269,C6_500,4,300,"Regular Cups, 1st Niskin",,26.184,-0.087,,,,32.27,11.893,Undetermined,,Undetermined,
H22_02,D13,52463-028,C6_500,4,300,"Regular Cups, Repeat Niskin",,26.333,0.013,,,,34.107,2.38,Undetermined,,36.702,0.534
H22_02,D14,52463-028,C6_500,4,300,"Regular Cups, Repeat Niskin",,26.462,0.142,,,,34.425,1.891,Undetermined,,Undetermined,
H22_02,D15,52463-028,C6_500,4,300,"Regular Cups, Repeat Niskin",,26.363,0.043,,,,34.941,1.303,Undetermined,,Undetermined,
H22_02,E13,52463-029,C6_500,4,300,Sodium Thiosulfate Cups,,26.252,-0.068,,,,34.061,2.461,Undetermined,,Undetermined,
H22_02,E14,52463-029,C6_500,4,300,Sodium Thiosulfate Cups,,26.315,-0.005,,,,33.161,4.714,Undetermined,,38.416,0.154
H22_02,E15,52463-029,C6_500,4,300,Sodium Thiosulfate Cups,,26.433,0.113,,,,34.706,1.544,Undetermined,,38.284,0.17
H22_07,N13,52462-270,C6_500,5,200,"Regular Cups, 1st Niskin",,26.298,0.027,,,,34.331,2.648,Undetermined,,Undetermined,
H22_07,N14,52462-270,C6_500,5,200,"Regular Cups, 1st Niskin",,26.249,-0.022,,,,34.697,2.028,Undetermined,,Undetermined,
H22_07,N15,52462-270,C6_500,5,200,"Regular Cups, 1st Niskin",,26.326,0.055,,,,38.099,0.17,Undetermined,,Undetermined,
H22_02,F16,52463-038,C6_500,5,200,Sodium Thiosulfate Cups; Extra,,26.502,0.182,,,,33.885,2.793,Undetermined,,Undetermined,
H22_02,F17,52463-038,C6_500,5,200,Sodium Thiosulfate Cups; Extra,,26.385,0.065,,,,34.354,1.991,Undetermined,,38.039,0.203
H22_02,F18,52463-038,C6_500,5,200,Sodium Thiosulfate Cups; Extra,,26.459,0.139,,,,33.915,2.733,Undetermined,,39.618,0.065
H22_07,O13,52462-271,C6_500,6,200,"Regular Cups, 1st Niskin",,26.266,-0.005,,,,35.504,1.126,Undetermined,,Undetermined,
H22_07,O14,52462-271,C6_500,6,200,"Regular Cups, 1st Niskin",,26.167,-0.104,,,,34.815,1.861,Undetermined,,36.942,1.071
H22_07,O15,52462-271,C6_500,6,200,"Regular Cups, 1st Niskin",,26.163,-0.108,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,G16,52463-039,C6_500,6,200,Sodium Thiosulfate Cups; Extra,,26.187,-0.133,,,,34.91,1.333,Undetermined,,37.076,0.408
H22_02,G17,52463-039,C6_500,6,200,Sodium Thiosulfate Cups; Extra,,26.737,0.417,,,,35.558,0.834,Undetermined,,38.327,0.164
H22_02,G18,52463-039,C6_500,6,200,Sodium Thiosulfate Cups; Extra,,26.308,-0.012,,,,35.576,0.824,Undetermined,,Undetermined,
H22_07,J16,52462-274,C6_500,9,50,"Regular Cups, 1st Niskin",,26.257,-0.014,,,,35.686,0.986,Undetermined,,37.444,0.76
H22_07,J17,52462-274,C6_500,9,50,"Regular Cups, 1st Niskin",,26.133,-0.138,,,,34.987,1.641,Undetermined,,Undetermined,
H22_07,J18,52462-274,C6_500,9,50,"Regular Cups, 1st Niskin",,25.891,-0.38,,,,33.907,3.607,Undetermined,,Undetermined,
H22_02,F13,52463-030,C6_500,9,50,"Regular Cups, Repeat Niskin",,26.479,0.159,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,F14,52463-030,C6_500,9,50,"Regular Cups, Repeat Niskin",,26.726,0.406,,,,38.122,0.131,Undetermined,,35.669,1.131
H22_02,F15,52463-030,C6_500,9,50,"Regular Cups, Repeat Niskin",,26.496,0.176,,,,39.183,0.061,Undetermined,,35.198,1.591
H22_02,G13,52463-031,C6_500,9,50,Sodium Thiosulfate Cups,,26.261,-0.059,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,G14,52463-031,C6_500,9,50,Sodium Thiosulfate Cups,,26.466,0.146,,,,35.899,0.652,Undetermined,,37.201,0.372
H22_02,G15,52463-031,C6_500,9,50,Sodium Thiosulfate Cups,,26.311,-0.009,,,,35.004,1.245,Undetermined,,35.909,0.95
H22_07,K16,52462-275,C6_500,10,50,"Regular Cups, 1st Niskin",,26.212,-0.059,,,,Undetermined,,Undetermined,,36.744,1.227
H22_07,K17,52462-275,C6_500,10,50,"Regular Cups, 1st Niskin",,26.223,-0.048,,,,Undetermined,,Undetermined,,37.654,0.658
H22_07,K18,52462-275,C6_500,10,50,"Regular Cups, 1st Niskin",,26.145,-0.126,,,,Undetermined,,Undetermined,,34.533,5.556
H22_02,H13,52463-032,C6_500,10,50,"Regular Cups, Repeat Niskin",,26.189,-0.131,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,H14,52463-032,C6_500,10,50,"Regular Cups, Repeat Niskin",,26.338,0.018,,,,Undetermined,,Undetermined,,37.383,0.326
H22_02,H15,52463-032,C6_500,10,50,"Regular Cups, Repeat Niskin",,26.097,-0.223,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,A16,52463-033,C6_500,10,50,"Sodium Thiosulfate Cups, Filter fell on bench cover","Y, collection issue",26.417,0.097,,,,Undetermined,,Undetermined,,39.931,0.051
H22_02,A17,52463-033,C6_500,10,50,"Sodium Thiosulfate Cups, Filter fell on bench cover","Y, collection issue",26.551,0.231,,,,Undetermined,,Undetermined,,33.731,4.608
H22_02,A18,52463-033,C6_500,10,50,"Sodium Thiosulfate Cups, Filter fell on bench cover","Y, collection issue",26.456,0.136,,,,39.681,0.042,Undetermined,,Undetermined,
H22_07,J10,52462-258,C6_800,5,200,"Regular Cups, 1st Niskin",,26.282,0.011,,,,38.974,0.09,Undetermined,,Undetermined,
H22_07,J11,52462-258,C6_800,5,200,"Regular Cups, 1st Niskin",,26.282,0.011,,,,Undetermined,,Undetermined,,Undetermined,
H22_07,J12,52462-258,C6_800,5,200,"Regular Cups, 1st Niskin",,26.211,-0.06,,,,36.815,0.433,Undetermined,,Undetermined,
H22_02,B16,52463-034,C6_800,5,200,"Regular Cups, Repeat Niskin",,26.444,0.124,,,,37.223,0.251,Undetermined,,Undetermined,
H22_02,B17,52463-034,C6_800,5,200,"Regular Cups, Repeat Niskin",,26.377,0.057,,,,39.837,0.038,Undetermined,,39.249,0.084
H22_02,B18,52463-034,C6_800,5,200,"Regular Cups, Repeat Niskin",,26.42,0.1,,,,37.522,0.202,Undetermined,,Undetermined,
H22_02,C16,52463-035,C6_800,5,200,Sodium Thiosulfate Cups,,26.485,0.165,,,,37.544,0.199,Undetermined,,Undetermined,
H22_02,C17,52463-035,C6_800,5,200,Sodium Thiosulfate Cups,,26.497,0.177,,,,37.753,0.171,Undetermined,,Undetermined,
H22_02,C18,52463-035,C6_800,5,200,Sodium Thiosulfate Cups,,26.394,0.074,,,,35.102,1.16,Undetermined,,Undetermined,
H22_07,K10,52462-259,C6_800,6,200,"Regular Cups, 1st Niskin",,26.192,-0.079,,,,37.339,0.296,Undetermined,,Undetermined,
H22_07,K11,52462-259,C6_800,6,200,"Regular Cups, 1st Niskin",,26.401,0.13,,,,38.311,0.145,Undetermined,,Undetermined,
H22_07,K12,52462-259,C6_800,6,200,"Regular Cups, 1st Niskin",,26.235,-0.036,,,,35.393,1.221,Undetermined,,Undetermined,
H22_02,D16,52463-036,C6_800,6,200,"Regular Cups, Repeat Niskin",,26.436,0.116,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,D17,52463-036,C6_800,6,200,"Regular Cups, Repeat Niskin",,26.287,-0.033,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,D18,52463-036,C6_800,6,200,"Regular Cups, Repeat Niskin",,26.399,0.079,,,,36.803,0.34,Undetermined,,Undetermined,
H22_02,E16,52463-037,C6_800,6,200,Sodium Thiosulfate Cups,,26.398,0.078,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,E17,52463-037,C6_800,6,200,Sodium Thiosulfate Cups,,26.285,-0.035,,,,Undetermined,,Undetermined,,38.282,0.17
H22_02,E18,52463-037,C6_800,6,200,Sodium Thiosulfate Cups,,26.399,0.079,,,,37.143,0.266,Undetermined,,Undetermined,
H22_02,H16,52463_extc20230213,,,,,,26.265,-0.055,,,,42.571,0.005,Undetermined,,Undetermined,
H22_02,H17,52463_extc20230213,,,,,,26.36,0.04,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,H18,52463_extc20230213,,,,,,26.275,-0.045,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,A22,ntc,,,,,,26.368,0.048,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,A23,ntc,,,,,,26.383,0.063,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,A24,ntc,,,,,,26.323,0.003,,,,Undetermined,,Undetermined,,Undetermined,
H22_02,B22,ntc,,,,,,26.287,-0.033,,,,Undetermined,,Undetermined,,Undetermined,
