eDNA.sample,rep,class,order,taxon,nReads
1207,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,489
1207,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,11225
1207,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,2
1207,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,272
1207,2,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1192
1207,2,Actinopteri,Osmeriformes,Osmeridae%Allosmerus%Allosmerus elongatus,528
1207,2,Actinopteri,Osmeriformes,Osmeridae%NA%NA,283
1207,2,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,847
1207,2,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,791
1207,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes entomelas|mystinus,1562
1207,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,1478
1207,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,36
1207,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,430
1207,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,1016
1207,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,1862
1207,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,7299
1207,2,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,62
1207,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,318
1207,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja rhina,40
1208,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,21613
1208,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,722
1208,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1387
1208,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1869
1208,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,4519
1208,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus gorbuscha,28194
1208,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,2316
1208,1,Actinopteri,Scombriformes,Scombridae%NA%NA,43
1208,2,Actinopteri,Carangiformes,Carangidae%Trachurus%NA,887
1208,2,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,2729
1208,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,16151
1208,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,3909
1208,2,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,4
1208,2,Actinopteri,Osmeriformes,Osmeridae%NA%NA,1642
1208,2,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,6449
1208,2,Actinopteri,Perciformes,Cottidae%Artedius%Artedius fenestralis|lateralis,1354
1208,2,Actinopteri,Perciformes,Sebastidae%Sebastes%NA,258
1208,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,4283
1208,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,52
1208,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,524
1208,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3408
1208,2,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus gorbuscha,5807
1208,2,Actinopteri,Scombriformes,Scombridae%NA%NA,113
1208,2,Actinopteri,Scombriformes,Scombridae%Thunnus%Thunnus alalunga|obesus,8664
1208,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,1706
1210,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,625
1210,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,59842
1210,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1264
1210,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,75
1210,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,116024
1210,2,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,44
1210,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,5944
1210,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,95
1210,2,Chondrichthyes,Lamniformes,Alopiidae%Isurus%Isurus oxyrinchus,16
1219,1,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,2604
1219,1,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,7072
1219,1,Actinopteri,Perciformes,Anoplopomatidae%Anoplopoma%Anoplopoma fimbria,60784
1219,1,Actinopteri,Scombriformes,Scombridae%Scomber%NA,4430
1219,1,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,50291
1219,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,109466
1219,2,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,45425
1219,2,Chondrichthyes,Squaliformes,Squalidae%Squalus%Squalus acanthias,19094
1220,1,Actinopteri,Cichliformes,Cichlidae%Oreochromis%NA,10317
1220,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,32472
1220,1,Actinopteri,Perciformes,Zoarcidae%Lycodapus%Lycodapus mandibularis,5702
1220,1,Actinopteri,Perciformes,Zoarcidae%Lycodapus%NA,323
1220,1,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,4
1220,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,114335
1220,2,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,12969
1220,2,Actinopteri,Perciformes,Sebastidae%Sebastes%NA,2595
1220,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes polyspinis|variabilis|ciliatus|crameri,10278
1220,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,16113
1225,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,10344
1225,1,Actinopteri,Perciformes,Anoplopomatidae%Anoplopoma%Anoplopoma fimbria,11797
1225,1,Actinopteri,Perciformes,Sebastidae%Sebastes%NA,363
1225,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes entomelas,23423
1225,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes entomelas|mystinus,9436
1228,1,Actinopteri,Beloniformes,Belonidae%Cololabis%Cololabis saira,952
1228,1,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,1929
1228,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,15
1228,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,9
1228,1,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,1100
1228,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,101
1228,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,10745
1228,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,134
1228,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,18
1228,1,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,104
1228,1,Chondrichthyes,Carcharhiniformes,Carcharhinidae%Prionace%Prionace glauca,230
1228,2,Actinopteri,Beloniformes,Belonidae%Cololabis%Cololabis saira,238
1228,2,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,553
1228,2,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,557
1228,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,11
1228,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,11810
1228,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,895
1265,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,5
1265,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,33
1265,1,Actinopteri,Scombriformes,Centrolophidae%Icichthys%Icichthys lockingtoni,3
1265,1,Actinopteri,Scombriformes,Scombridae%NA%NA,5953
1265,1,Actinopteri,Scombriformes,Scombridae%Thunnus%Thunnus alalunga|obesus,56731
1265,2,Actinopteri,Scombriformes,Scombridae%NA%NA,13326
1265,2,Actinopteri,Scombriformes,Scombridae%Thunnus%Thunnus alalunga|obesus,118911
1266,1,Actinopteri,Argentiniformes,Bathylagidae%Leuroglossus%Leuroglossus schmidti,25
1266,1,Actinopteri,Argentiniformes,Bathylagidae%NA%NA,107558
1266,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,11
1266,2,Actinopteri,Argentiniformes,Bathylagidae%Leuroglossus%Leuroglossus schmidti,98
1266,2,Actinopteri,Argentiniformes,Bathylagidae%NA%NA,79198
1273,1,Actinopteri,Stomiiformes,Stomiidae%Tactostoma%Tactostoma macropus,129667
1273,2,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,2068
1273,2,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%Stenobrachius leucopsarus,3150
