Sample,Plate,Well,Transect,position,depth,lat,lon
487,A,F5,39,5,50,40.73091833,-124.6617817
488,A,G5,39,5,sfc,40.73091833,-124.6617817
489,A,H5,39,5,sfc,40.73091833,-124.6617817
510,A,A6,39,9,50,40.72901667,-125.1001667
511,A,B6,39,9,50,40.72901667,-125.1001667
512,A,C6,39,9,sfc,40.72901667,-125.1001667
513,A,D6,39,9,sfc,40.72901667,-125.1001667
779,A,E6,53,1,40,43.06397667,-124.480865
780,A,F6,53,1,40,43.06397667,-124.480865
781,A,G6,53,1,25,43.06397667,-124.480865
782,A,H6,53,1,25,43.06397667,-124.480865
783,A,A7,53,1,sfc,43.06397667,-124.480865
784,A,B7,53,1,sfc,43.06397667,-124.480865
799,A,C7,53,3,50,43.0648,-124.87498
800,A,D7,53,3,50,43.0648,-124.87498
801,A,E7,53,3,sfc,43.0648,-124.87498
802,A,F7,53,3,sfc,43.0648,-124.87498
847,A,G7,53,7,50,43.06521333,-125.248965
848,A,H7,53,7,50,43.06521333,-125.248965
849,A,A8,53,7,sfc,43.06521333,-125.248965
850,A,B8,53,7,sfc,43.06521333,-125.248965
985,A,C8,60,4,50,44.23039833,-125.1583233
986,A,D8,60,4,50,44.23039833,-125.1583233
987,A,E8,60,4,sfc,44.23039833,-125.1583233
988,A,F8,60,4,sfc,44.23039833,-125.1583233
997,A,G8,60,2,50,44.23054833,-124.5392983
998,A,H8,60,2,50,44.23054833,-124.5392983
999,A,A9,60,2,sfc,44.23054833,-124.5392983
1000,A,B9,60,2,sfc,44.23054833,-124.5392983
1003,A,C9,60,1,50,44.23212833,-124.247595
1004,A,D9,60,1,50,44.23212833,-124.247595
1005,A,E9,60,1,25,44.23212833,-124.247595
1006,A,F9,60,1,25,44.23212833,-124.247595
1007,A,G9,60,1,sfc,44.23212833,-124.247595
1008,A,H9,60,1,sfc,44.23212833,-124.247595
1205,A,A10,67,1,45,45.39631833,-124.0406283
1206,A,B10,67,1,45,45.39631833,-124.0406283
1207,A,C10,67,1,25,45.39631833,-124.0406283
1208,A,D10,67,1,25,45.39631833,-124.0406283
1209,A,E10,67,1,sfc,45.39631833,-124.0406283
1210,A,F10,67,1,sfc,45.39631833,-124.0406283
1225,A,G10,67,3,50,45.39612167,-124.4226133
1226,A,H10,67,3,50,45.39612167,-124.4226133
1227,A,A11,67,3,sfc,45.39612167,-124.4226133
1228,A,B11,67,3,sfc,45.39612167,-124.4226133
1273,A,C11,67,7,50,45.398275,-125.0283033
1274,A,D11,67,7,50,45.398275,-125.0283033
1275,A,E11,67,7,sfc,45.398275,-125.0283033
1276,A,F11,67,7,sfc,45.398275,-125.0283033
1535,A,G11,77,1,sfc,47.063255,-124.396465
1536,A,H11,77,1,sfc,47.063255,-124.396465
1537,A,A12,77,1,50,47.063255,-124.396465
1538,A,B12,77,1,50,47.063255,-124.396465
1539,A,C12,77,1,25,47.063255,-124.396465
1540,A,D12,77,1,25,47.063255,-124.396465
1541,A,E12,77,2,sfc,47.06391667,-124.8705967
1542,A,F12,77,2,sfc,47.06391667,-124.8705967
1547,A,G12,77,2,50,47.06391667,-124.8705967
1548,A,H12,77,2,50,47.06391667,-124.8705967
1573,B,A1,77,6,sfc,47.06442,-125.2157667
1574,B,B1,77,6,sfc,47.06442,-125.2157667
1583,B,C1,77,6,50,47.06442,-125.2157667
1584,B,D1,77,6,50,47.06442,-125.2157667
1719,B,E1,81,1,sfc,47.72953333,-124.680385
1720,B,F1,81,1,sfc,47.72953333,-124.680385
1721,B,G1,81,1,48,47.72953333,-124.680385
1722,B,H1,81,1,48,47.72953333,-124.680385
1723,B,A2,81,1,25,47.72953333,-124.680385
1724,B,B2,81,1,25,47.72953333,-124.680385
1725,B,C2,81,1,3,47.72953333,-124.680385
1726,B,D2,81,1,3,47.72953333,-124.680385
1745,B,E2,81,5,sfc,47.73109333,-125.2471967
1746,B,F2,81,5,sfc,47.73109333,-125.2471967
1755,B,G2,81,5,50,47.73109333,-125.2471967
1756,B,H2,81,5,50,47.73109333,-125.2471967
1769,B,A3,81,9,sfc,47.73233,-125.742555
1770,B,B3,81,9,sfc,47.73233,-125.742555
1779,B,C3,81,9,50,47.73233,-125.742555
1780,B,D3,81,9,50,47.73233,-125.742555
