taxid,taxonomy,Phylum,Class,Order,Family,Genus,Species
1249487,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa ischana
349311,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis australis
714659,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus
411575,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa lyolepis
42892,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis japonicus
184585,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus
224718,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli
282529,,Chordata,Actinopteri,NA,NA,NA,teleost environmental sample
411576,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis eurystole
1249488,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa lucida
1249489,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa mundeola
332922,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa delicatissima
1310237,,Chordata,Actinopteri,Clupeiformes,Engraulidae,NA,Engraulidae sp. NDV-2013
1150436,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa walkeri
1150432,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa mundeoloides
307589,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Anchoa,Anchoa compressa
1814133,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis environmental sample
1869227,,NA,NA,NA,NA,NA,bacterium
2855503,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacter,Mycolicibacter sp. MYC340
1849603,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,Enterobacteriaceae bacterium
1049725,,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,uncultured Glomeraceae
2202567,,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,NA,Podoviridae sp.
1938460,,Cercozoa,NA,Glissomonadida,NA,NA,uncultured Teretomonas
175275,,Cercozoa,NA,NA,NA,NA,uncultured Cercozoa
2099583,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. ICC1
