"","year","sample","station","depth_cat","dilution","Latitude","Longitude"
"91",2019,306,"35-5",50,1,40.06066,-124.421245
"92",2019,309,"35-5",0,0.2,40.06066,-124.421245
"93",2019,318,"35-7",50,1,40.06181,-124.643616666667
"94",2019,320,"35-7",0,0.2,40.06181,-124.643616666667
"95",2019,330,"35-9",50,1,40.0610316666667,-124.85885
"96",2019,332,"35-9",0,0.2,40.0610316666667,-124.85885
"97",2019,334,"35-11",500,1,40.06377,-125.078131666667
"98",2019,336,"35-11",300,1,40.06377,-125.078131666667
"99",2019,338,"35-11",150,1,40.06377,-125.078131666667
"100",2019,342,"35-11",50,1,40.06377,-125.078131666667
"101",2019,344,"35-11",0,1,40.06377,-125.078131666667
"102",2019,348,"37-9",500,1,40.39612,-125.125968333333
"103",2019,350,"37-9",300,1,40.39612,-125.125968333333
"104",2019,352,"37-9",150,1,40.39612,-125.125968333333
"105",2019,356,"37-9",50,1,40.39612,-125.125968333333
"106",2019,358,"37-9",0,0.2,40.39612,-125.125968333333
"107",2019,360,"37-7",500,1,40.39824,-124.912288333333
"108",2019,362,"37-7",300,1,40.39824,-124.912288333333
"109",2019,364,"37-7",150,1,40.39824,-124.912288333333
"110",2019,369,"37-7",50,1,40.39824,-124.912288333333
"111",2019,370,"37-7",0,0.2,40.39824,-124.912288333333
"112",2019,372,"37-5",500,1,40.3951616666667,-124.690986666667
"113",2019,374,"37-5",300,1,40.3951616666667,-124.690986666667
"114",2019,376,"37-5",150,1,40.3951616666667,-124.690986666667
"115",2019,380,"37-5",50,1,40.3951616666667,-124.690986666667
"116",2019,382,"37-5",0,0.2,40.3951616666667,-124.690986666667
"117",2019,392,"37-4",50,1,40.3965183333333,-124.577226666667
"118",2019,394,"37-4",0,0.2,40.3965183333333,-124.577226666667
"119",2019,400,"37-2",50,1,40.3980633333333,-124.543513333333
"120",2019,402,"37-2",0,1,40.3980633333333,-124.543513333333
"121",2019,408,"37-1",0,1,40.3966,-124.447735
"122",2019,417,"38-1",0,1,40.5635883333333,-124.452305
"123",2019,419,"38-2",500,1,40.5655825,-124.783029166667
"124",2019,421,"38-2",300,1,40.5655825,-124.783029166667
"125",2019,423,"38-2",150,1,40.5655825,-124.783029166667
"126",2019,427,"38-2",50,1,40.5655825,-124.783029166667
"127",2019,429,"38-2",0,0.2,40.5655825,-124.783029166667
"128",2019,431,"38-3",500,1,40.561005,-125.112373333333
"129",2019,433,"38-3",300,1,40.561005,-125.112373333333
"130",2019,435,"38-3",150,1,40.561005,-125.112373333333
"131",2019,439,"38-3",50,1,40.561005,-125.112373333333
"132",2019,441,"38-3",0,0.2,40.561005,-125.112373333333
"133",2019,443,"38-4",500,1,40.5651633333333,-125.339423333333
"134",2019,445,"38-4",300,1,40.5651633333333,-125.339423333333
"135",2019,447,"38-4",150,1,40.5651633333333,-125.339423333333
"136",2019,451,"38-4",50,1,40.5651633333333,-125.339423333333
"137",2019,453,"38-4",0,1,40.5651633333333,-125.339423333333
"138",2019,460,"39-1",0,0.2,40.72985,-124.373486666667
"139",2019,469,"39-2",50,1,40.7320383333333,-124.488593333333
"140",2019,470,"39-2",0,0.2,40.7320383333333,-124.488593333333
"141",2019,486,"39-5",50,1,40.7309183333333,-124.661781666667
"142",2019,488,"39-5",0,0.2,40.7309183333333,-124.661781666667
"143",2019,498,"39-7",50,1,40.7309516666667,-124.879448333333
"144",2019,500,"39-7",0,0.2,40.7309516666667,-124.879448333333
"145",2019,502,"39-9",500,1,40.7290166666667,-125.100166666667
"146",2019,504,"39-9",300,1,40.7290166666667,-125.100166666667
"147",2019,506,"39-9",150,1,40.7290166666667,-125.100166666667
"148",2019,510,"39-9",50,1,40.7290166666667,-125.100166666667
"149",2019,513,"39-9",0,0.2,40.7290166666667,-125.100166666667
"150",2019,515,"42-4",500,1,41.2313033333333,-124.955416666667
"151",2019,517,"42-4",300,1,41.2313033333333,-124.955416666667
"152",2019,519,"42-4",150,1,41.2313033333333,-124.955416666667
"153",2019,523,"42-4",50,1,41.2313033333333,-124.955416666667
"154",2019,525,"42-4",0,0.2,41.2313033333333,-124.955416666667
"155",2019,527,"42-3",500,1,41.2298933333333,-124.843238333333
"156",2019,529,"42-3",300,1,41.2298933333333,-124.843238333333
"157",2019,531,"42-3",150,1,41.2298933333333,-124.843238333333
"158",2019,537,"42-3",0,0.2,41.2298933333333,-124.843238333333
"159",2019,539,"42-2",500,1,41.2320116666667,-124.509348333333
"160",2019,541,"42-2",300,1,41.2320116666667,-124.509348333333
"161",2019,543,"42-2",150,1,41.2320116666667,-124.509348333333
"162",2019,547,"42-2",50,1,41.2320116666667,-124.509348333333
"163",2019,549,"42-2",0,0.2,41.2320116666667,-124.509348333333
"164",2019,555,"42-1",0,0.2,41.2309358333333,-124.178403333333
"165",2019,558,"43-8",500,1,41.393765,-124.987153333333
"166",2019,560,"43-8",300,1,41.393765,-124.987153333333
"167",2019,562,"43-8",150,1,41.393765,-124.987153333333
"168",2019,566,"43-8",50,1,41.393765,-124.987153333333
"169",2019,568,"43-8",0,0.2,41.393765,-124.987153333333
"170",2019,570,"43-6",500,1,41.3963133333333,-124.741866666667
"171",2019,572,"43-6",300,1,41.3963133333333,-124.741866666667
"172",2019,574,"43-6",150,1,41.3963133333333,-124.741866666667
"173",2019,578,"43-6",50,1,41.3963133333333,-124.741866666667
"174",2019,580,"43-6",0,0.2,41.3963133333333,-124.741866666667
"175",2019,590,"43-5",50,1,41.3987066666667,-124.626471666667
"176",2019,592,"43-5",0,0.2,41.3987066666667,-124.626471666667
"177",2019,602,"43-4",50,1,41.3916433333333,-124.512996666667
"178",2019,604,"43-4",0,0.2,41.3916433333333,-124.512996666667
"179",2019,610,"43-2",50,1,41.3964583333333,-124.435636666667
"180",2019,612,"43-2",0,0.2,41.3964583333333,-124.435636666667
"181",2019,617,"47-9",500,1,42.0677183333333,-125.164298333333
"182",2019,619,"47-9",300,1,42.0677183333333,-125.164298333333
"183",2019,621,"47-9",150,1,42.0677183333333,-125.164298333333
"184",2019,625,"47-9",50,1,42.0677183333333,-125.164298333333
"185",2019,627,"47-9",0,0.2,42.0677183333333,-125.164298333333
"186",2019,637,"47-7",50,1,42.0674016666667,-125.00537
"187",2019,639,"47-7",0,0.2,42.0674016666667,-125.00537
"188",2019,641,"47-5",500,1,42.064585,-124.770801666667
"189",2019,643,"47-5",300,1,42.064585,-124.770801666667
"190",2019,645,"47-5",150,1,42.064585,-124.770801666667
"191",2019,649,"47-5",50,1,42.064585,-124.770801666667
"192",2019,651,"47-5",0,1,42.064585,-124.770801666667
"193",2019,659,"47-3",50,1,42.0648566666667,-124.597856666667
"194",2019,661,"47-3",0,1,42.0648566666667,-124.597856666667
"195",2019,665,"47-2",50,1,42.0646633333333,-124.510348333333
"196",2019,667,"47-2",0,1,42.0646633333333,-124.510348333333
"197",2019,680,"49-2",50,1,42.3958916666667,-124.712188333333
"198",2019,682,"49-2",0,0.2,42.3958916666667,-124.712188333333
"199",2019,692,"49-4",50,1,42.3941816666667,-124.773615
"200",2019,694,"49-4",0,0.2,42.3941816666667,-124.773615
"201",2019,696,"49-5",500,1,42.3962016666667,-124.893346666667
"202",2019,698,"49-5",300,1,42.3962016666667,-124.893346666667
"203",2019,700,"49-5",150,1,42.3962016666667,-124.893346666667
"204",2019,704,"49-5",50,1,42.3962016666667,-124.893346666667
"205",2019,706,"49-5",0,0.2,42.3962016666667,-124.893346666667
"206",2019,716,"49-7",50,1,42.40055,-125.116968333333
"207",2019,718,"49-7",0,0.2,42.40055,-125.116968333333
"208",2019,720,"49-9",0,0.2,42.7389516666667,-125.201211666667
"209",2019,724,"51-9",500,1,42.73451,-125.342276666667
"210",2019,726,"51-9",300,1,42.73451,-125.342276666667
"211",2019,728,"51-9",150,1,42.73451,-125.342276666667
"212",2019,732,"51-9",50,1,42.73451,-125.342276666667
"213",2019,734,"51-9",0,0.2,42.73451,-125.342276666667
"214",2019,744,"51-5",50,1,42.729305,-124.883535
"215",2019,746,"51-5",0,0.2,42.729305,-124.883535
"216",2019,756,"51-4",50,1,42.7276466666667,-124.768921666667
"217",2019,758,"51-4",0,0.2,42.7276466666667,-124.768921666667
"218",2019,766,"51-3",50,1,42.7307916666667,-124.732376666667
"219",2019,768,"51-3",0,0.2,42.7307916666667,-124.732376666667
"220",2019,774,"51-2",50,1,42.73027,-124.675346666667
"221",2019,776,"51-2",0,0.2,42.73027,-124.675346666667
"222",2019,783,"53-1",0,0.2,43.0639766666667,-124.480865
"223",2019,789,"53-2",50,1,43.0650616666667,-124.666015
"224",2019,791,"53-2",0,0.2,43.0650616666667,-124.666015
"225",2019,799,"53-3",50,1,43.0648,-124.87498
"226",2019,801,"53-3",0,0.2,43.0648,-124.87498
"227",2019,803,"53-4",500,0.2,43.064,-124.907213333333
"228",2019,805,"53-4",300,0.2,43.064,-124.907213333333
"229",2019,808,"53-4",150,0.2,43.064,-124.907213333333
"230",2019,812,"53-4",50,0.2,43.064,-124.907213333333
"231",2019,813,"53-4",0,0.2,43.064,-124.907213333333
"232",2019,815,"53-5",500,0.2,43.0636316666667,-125.019288333333
"233",2019,817,"53-5",300,1,43.0636316666667,-125.019288333333
"234",2019,819,"53-5",150,1,43.0636316666667,-125.019288333333
"235",2019,823,"53-5",50,1,43.0636316666667,-125.019288333333
"236",2019,825,"53-5",0,0.2,43.0636316666667,-125.019288333333
"237",2019,835,"53-6",50,1,43.063785,-125.131203333333
"238",2019,837,"53-6",0,0.2,43.063785,-125.131203333333
"239",2019,847,"53-7",50,1,43.0652133333333,-125.248965
"240",2019,849,"53-7",0,0.2,43.0652133333333,-125.248965
"241",2019,851,"53-8",500,1,43.0646916666667,-125.281281666667
"242",2019,853,"53-8",300,1,43.0646916666667,-125.281281666667
"243",2019,855,"53-8",150,1,43.0646916666667,-125.281281666667
"244",2019,859,"53-8",50,0.2,43.0646916666667,-125.281281666667
"245",2019,861,"53-8",0,0.2,43.0646916666667,-125.281281666667
"246",2019,864,"55-8",500,1,43.3956033333333,-125.189065
"247",2019,866,"55-8",300,1,43.3956033333333,-125.189065
"248",2019,868,"55-8",150,1,43.3956033333333,-125.189065
"249",2019,872,"55-8",50,1,43.3956033333333,-125.189065
"250",2019,874,"55-8",0,0.2,43.3956033333333,-125.189065
"251",2019,876,"55-7",500,1,43.39409,-125.091891666667
"252",2019,878,"55-7",300,1,43.39409,-125.091891666667
"253",2019,880,"55-7",150,1,43.39409,-125.091891666667
"254",2019,884,"55-7",50,1,43.39409,-125.091891666667
"255",2019,886,"55-7",0,1,43.39409,-125.091891666667
"256",2019,888,"55-6",500,1,43.3938766666667,-124.973196666667
"257",2019,890,"55-6",300,1,43.3938766666667,-124.973196666667
"258",2019,892,"55-6",150,1,43.3938766666667,-124.973196666667
"259",2019,896,"55-6",50,1,43.3938766666667,-124.973196666667
"260",2019,898,"55-6",0,0.2,43.3938766666667,-124.973196666667
"261",2019,908,"55-5",50,1,43.3969566666667,-124.86218
"262",2019,910,"55-5",0,0.2,43.3969566666667,-124.86218
"263",2019,920,"55-4",50,1,43.396895,-124.74811
"264",2019,922,"55-4",0,0.2,43.396895,-124.74811
"265",2019,930,"55-3",50,1,43.3962916666667,-124.673546666667
"266",2019,932,"55-3",0,0.2,43.3962916666667,-124.673546666667
"267",2019,938,"55-2",50,1,43.3961183333333,-124.592481666667
"268",2019,940,"55-2",0,0.2,43.3961183333333,-124.592481666667
"269",2019,946,"55-1",0,1,43.3969816666667,-124.38632
"270",2019,953,"58-1",0,0.2,43.8962516666667,-124.216271666667
"271",2019,960,"58-2",50,1,43.8970566666667,-124.559918333333
"272",2019,962,"58-2",0,0.2,43.8970566666667,-124.559918333333
"273",2019,964,"58-5",500,1,43.8965866666667,-125.002045
"274",2019,966,"58-5",300,1,43.8965866666667,-125.002045
"275",2019,968,"58-5",150,1,43.8965866666667,-125.002045
"276",2019,972,"58-5",50,1,43.8965866666667,-125.002045
"277",2019,974,"58-5",0,0.2,43.8965866666667,-125.002045
"278",2019,977,"60-4",500,1,44.2303983333333,-125.158323333333
"279",2019,979,"60-4",300,1,44.2303983333333,-125.158323333333
"280",2019,981,"60-4",150,1,44.2303983333333,-125.158323333333
"281",2019,985,"60-4",50,1,44.2303983333333,-125.158323333333
"282",2019,987,"60-4",0,1,44.2303983333333,-125.158323333333
"283",2019,991,"60-3",50,1,44.2289466666667,-124.886178333333
"284",2019,993,"60-3",0,0.2,44.2289466666667,-124.886178333333
"285",2019,997,"60-2",50,1,44.2305483333333,-124.539298333333
"286",2019,1000,"60-2",0,0.2,44.2305483333333,-124.539298333333
"287",2019,1007,"60-1",0,0.2,44.2321283333333,-124.247595
"288",2019,1014,"61-2",50,1,44.39556,-124.744218333333
"289",2019,1016,"61-2",0,0.2,44.39556,-124.744218333333
"290",2019,1024,"61-3",50,1,44.39677,-124.815533333333
"291",2019,1026,"61-3",0,0.2,44.39677,-124.815533333333
"292",2019,1036,"61-4",50,1,44.3952166666667,-124.878148333333
"293",2019,1038,"61-4",0,0.2,44.3952166666667,-124.878148333333
"294",2019,1040,"61-5",500,1,44.396,-124.991496666667
"295",2019,1042,"61-5",300,1,44.396,-124.991496666667
"296",2019,1044,"61-5",150,1,44.396,-124.991496666667
"297",2019,1048,"61-5",50,1,44.396,-124.991496666667
"298",2019,1051,"61-5",0,0.2,44.396,-124.991496666667
"299",2019,1052,"61-6",500,1,44.396315,-125.10797
"300",2019,1054,"61-6",300,1,44.396315,-125.10797
"301",2019,1056,"61-6",150,1,44.396315,-125.10797
"302",2019,1060,"61-6",50,1,44.396315,-125.10797
"303",2019,1062,"61-6",0,1,44.396315,-125.10797
"304",2019,1064,"61-7",500,1,44.3974133333333,-125.236651666667
"305",2019,1066,"61-7",300,1,44.3974133333333,-125.236651666667
"306",2019,1068,"61-7",150,1,44.3974133333333,-125.236651666667
"307",2019,1072,"61-7",50,1,44.3974133333333,-125.236651666667
"308",2019,1075,"61-7",0,0.2,44.3974133333333,-125.236651666667
"309",2019,1077,"65-7",500,1,45.0634266666667,-125.102803333333
"310",2019,1079,"65-7",300,1,45.0634266666667,-125.102803333333
"311",2019,1081,"65-7",150,1,45.0634266666667,-125.102803333333
"312",2019,1085,"65-7",50,1,45.0634266666667,-125.102803333333
"313",2019,1088,"65-7",0,0.2,45.0634266666667,-125.102803333333
"314",2019,1089,"65-4",500,1,45.0644133333333,-124.750125
"315",2019,1091,"65-4",300,1,45.0644133333333,-124.750125
"316",2019,1093,"65-4",150,1,45.0644133333333,-124.750125
"317",2019,1097,"65-4",50,1,45.0644133333333,-124.750125
"318",2019,1099,"65-4",0,0.2,45.0644133333333,-124.750125
"319",2019,1107,"65-3",50,1,45.0638683333333,-124.410206666667
"320",2019,1109,"65-3",0,1,45.0638683333333,-124.410206666667
"321",2019,1115,"65-2",50,1,45.0631916666667,-124.224421666667
"322",2019,1117,"65-2",0,0.2,45.0631916666667,-124.224421666667
"323",2019,1123,"65-1",0,0.2,45.0639633333333,-124.05665
"324",2019,1129,"66-1",0,1,45.2301133333333,-124.028521666667
"325",2019,1139,"66-2",50,0.2,45.2305116666667,-124.382238333333
"326",2019,1140,"66-2",0,0.2,45.2305116666667,-124.382238333333
"327",2019,1151,"66-3",50,0.2,45.2301516666667,-124.740198333333
"328",2019,1153,"66-3",0,0.2,45.2301516666667,-124.740198333333
"329",2019,1155,"66-3.5",500,1,45.229345,-124.903541666667
"330",2019,1157,"66-3.5",300,1,45.229345,-124.903541666667
"331",2019,1159,"66-3.5",150,1,45.229345,-124.903541666667
"332",2019,1163,"66-3.5",50,0.2,45.229345,-124.903541666667
"333",2019,1165,"66-3.5",0,0.2,45.229345,-124.903541666667
"334",2019,1167,"66-4",500,1,45.2301916666667,-125.062656666667
"335",2019,1169,"66-4",300,1,45.2301916666667,-125.062656666667
"336",2019,1171,"66-4",150,1,45.2301916666667,-125.062656666667
"337",2019,1175,"66-4",50,0.2,45.2301916666667,-125.062656666667
"338",2019,1177,"66-4",0,0.2,45.2301916666667,-125.062656666667
"339",2019,1188,"65-6",50,0.2,45.0615316666667,-124.97965
"340",2019,1189,"65-6",0,0.2,45.0615316666667,-124.97965
"341",2019,1199,"65-5",50,1,45.063045,-124.861888333333
"342",2019,1201,"65-5",0,0.2,45.063045,-124.861888333333
"343",2019,1209,"67-1",0,0.2,45.3963183333333,-124.040628333333
"344",2019,1215,"67-2",50,1,45.3973166666667,-124.21765
"345",2019,1217,"67-2",0,0.2,45.3973166666667,-124.21765
"346",2019,1226,"67-3",50,1,45.3961216666667,-124.422613333333
"347",2019,1227,"67-3",0,0.2,45.3961216666667,-124.422613333333
"348",2019,1229,"67-4",500,1,45.3965183333333,-124.70627
"349",2019,1231,"67-4",300,1,45.3965183333333,-124.70627
"350",2019,1233,"67-4",150,1,45.3965183333333,-124.70627
"351",2019,1237,"67-4",50,0.2,45.3965183333333,-124.70627
"352",2019,1239,"67-4",0,0.2,45.3965183333333,-124.70627
"353",2019,1241,"67-5",500,1,45.3982116666667,-124.822746666667
"354",2019,1243,"67-5",300,1,45.3982116666667,-124.822746666667
"355",2019,1245,"67-5",150,1,45.3982116666667,-124.822746666667
"356",2019,1249,"67-5",50,1,45.3982116666667,-124.822746666667
"357",2019,1251,"67-5",0,0.2,45.3982116666667,-124.822746666667
"358",2019,1253,"67-6",500,1,45.3985233333333,-124.939641666667
"359",2019,1255,"67-6",300,1,45.3985233333333,-124.939641666667
"360",2019,1257,"67-6",150,1,45.3985233333333,-124.939641666667
"361",2019,1261,"67-6",50,0.2,45.3985233333333,-124.939641666667
"362",2019,1263,"67-6",0,0.2,45.3985233333333,-124.939641666667
"363",2019,1265,"67-7",500,1,45.398275,-125.028303333333
"364",2019,1267,"67-7",300,1,45.398275,-125.028303333333
"365",2019,1269,"67-7",150,1,45.398275,-125.028303333333
"366",2019,1273,"67-7",50,1,45.398275,-125.028303333333
"367",2019,1275,"67-7",0,0.2,45.398275,-125.028303333333
"368",2019,1279,"69-6",0,0.2,45.7305483333333,-124.936161666667
"369",2019,1281,"69-6",500,1,45.7305483333333,-124.936161666667
"370",2019,1283,"69-6",300,1,45.7305483333333,-124.936161666667
"371",2019,1285,"69-6",150,1,45.7305483333333,-124.936161666667
"372",2019,1289,"69-6",50,1,45.7305483333333,-124.936161666667
"373",2019,1291,"69-5",500,1,45.7309883333333,-124.896025
"374",2019,1293,"69-5",300,1,45.7309883333333,-124.896025
"375",2019,1295,"69-5",150,1,45.7309883333333,-124.896025
"376",2019,1299,"69-5",50,0.2,45.7309883333333,-124.896025
"377",2019,1301,"69-5",0,0.2,45.7309883333333,-124.896025
"378",2019,1310,"69-4",50,0.2,45.7315583333333,-124.774476666667
"379",2019,1313,"69-4",0,0.2,45.7315583333333,-124.774476666667
"380",2019,1314,"69-2",0,0.2,45.73175,-124.375011666667
"381",2019,1320,"69-2",50,1,45.73175,-124.375011666667
"382",2019,1322,"69-1",0,0.2,45.7304033333333,-124.006693333333
"383",2019,1330,"71-6",0,0.2,46.0630116666667,-125.077688333333
"384",2019,1332,"71-6",500,1,46.0630116666667,-125.077688333333
"385",2019,1334,"71-6",300,1,46.0630116666667,-125.077688333333
"386",2019,1336,"71-6",150,1,46.0630116666667,-125.077688333333
"387",2019,1340,"71-6",50,1,46.0630116666667,-125.077688333333
"388",2019,1343,"71-5",0,0.2,46.0638983333333,-124.958378333333
"389",2019,1353,"71-5",50,0.2,46.0638983333333,-124.958378333333
"390",2019,1355,"71-4",0,0.2,46.0642783333333,-124.84002
"391",2019,1357,"71-4",500,1,46.0642783333333,-124.84002
"392",2019,1359,"71-4",300,1,46.0642783333333,-124.84002
"393",2019,1363,"71-4",150,1,46.0642783333333,-124.84002
"394",2019,1367,"71-4",50,1,46.0642783333333,-124.84002
"395",2019,1369,"71-3",0,1,46.06373,-124.715038333333
"396",2019,1377,"71-3",50,1,46.06373,-124.715038333333
"397",2019,1379,"71-2",0,0.2,46.0631816666667,-124.59208
"398",2019,1385,"71-2",50,1,46.0631816666667,-124.59208
"399",2019,1388,"71-1",0,0.2,46.0638533333333,-124.06542
"400",2019,1411,"73-4",0,0.2,46.395065,-124.597578333333
"401",2019,1421,"73-4",50,1,46.395065,-124.597578333333
"402",2019,1449,"73-7",500,1,46.3994983333333,-124.95556
"403",2019,1451,"73-7",300,1,46.3994983333333,-124.95556
"404",2019,1453,"73-7",150,1,46.3994983333333,-124.95556
"405",2019,1462,"75-7",500,1,46.7306416666667,-125.248581666667
"406",2019,1464,"75-7",300,1,46.7306416666667,-125.248581666667
"407",2019,1466,"75-7",150,1,46.7306416666667,-125.248581666667
"408",2019,1474,"75-6",500,1,46.7310966666667,-125.127575
"409",2019,1476,"75-6",300,1,46.7310966666667,-125.127575
"410",2019,1478,"75-6",150,1,46.7310966666667,-125.127575
"411",2019,1487,"75-5",500,1,46.7312133333333,-125.006288333333
"412",2019,1489,"75-5",300,1,46.7312133333333,-125.006288333333
"413",2019,1491,"75-5",150,1,46.7312133333333,-125.006288333333
"414",2019,1497,"75-4",0,0.2,46.72953,-124.882996666667
"415",2019,1499,"75-4",500,1,46.72953,-124.882996666667
"416",2019,1501,"75-4",300,1,46.72953,-124.882996666667
"417",2019,1503,"75-4",150,1,46.72953,-124.882996666667
"418",2019,1507,"75-4",50,1,46.72953,-124.882996666667
"419",2019,1549,"77-4",0,0.2,47.06398,-124.966731666667
"420",2019,1551,"77-4",500,1,47.06398,-124.966731666667
"421",2019,1553,"77-4",300,1,47.06398,-124.966731666667
"422",2019,1555,"77-4",150,1,47.06398,-124.966731666667
"423",2019,1559,"77-4",50,1,47.06398,-124.966731666667
"424",2019,1563,"77-5",500,1,47.0647033333333,-125.087586666667
"425",2019,1565,"77-5",300,1,47.0647033333333,-125.087586666667
"426",2019,1568,"77-5",150,1,47.0647033333333,-125.087586666667
"427",2019,1575,"77-6",500,1,47.06442,-125.215766666667
"428",2019,1577,"77-6",300,1,47.06442,-125.215766666667
"429",2019,1579,"77-6",150,1,47.06442,-125.215766666667
"430",2019,1587,"79-8",500,1,47.3971666666667,-125.309606666667
"431",2019,1589,"79-8",300,1,47.3971666666667,-125.309606666667
