SampleID,Year,ROV_CTD_Rosette,Latitude,Longitude,Depth
SH_18_12-083,2018,CTD Rosette,40.172386,-124.414755,344
SH_18_12-101,2018,ROV,40.2804,-124.6605,446
SH_18_12-093,2018,ROV,40.2883,-124.6862,425
SH_18_12-082,2018,ROV,40.6702,-124.5232,205
RL-19-05-037,2019,ROV,40.9387,-124.6103,551
RL-19-05-038,2019,ROV,40.9387,-124.6103,551
RL1905_eDNA 17,2019,CTD Rosette,40.9426,-124.6241,485
RL1905_eDNA 20,2019,CTD Rosette,40.953,-124.6426,622
RL1905_eDNA 18,2019,CTD Rosette,40.9558,-124.6278,453
RL1905_eDNA 19,2019,CTD Rosette,40.9623,-124.6186,648
RL1905_eDNA 25,2019,CTD Rosette,41.0036,-124.6655,690
RL1905_eDNA 24,2019,CTD Rosette,41.0078,-124.6561,730
RL1905_eDNA 23,2019,CTD Rosette,41.0135,-124.6525,655
NA072-128,2016,ROV,41.13911999,-124.9445459,2116.802818
NA072-126,2016,ROV,41.42536698,-124.8898481,732.0601014
NA072-124,2016,ROV,41.42577867,-124.8893243,740.2003944
NA072-113,2016,ROV,41.42701964,-124.8921697,724.2981102
NA072-122,2016,ROV,41.428035,-124.891397,744.6847398
RL1905_eDNA 14,2019,CTD Rosette,42.0117,-124.9542,921
RL1905_eDNA 13,2019,CTD Rosette,42.0148,-124.9556,906
RL1905_eDNA 15,2019,CTD Rosette,42.0148,-124.9526,948
RL1905_eDNA 16,2019,CTD Rosette,42.0165,-124.9431,1023
NA072-109,2016,ROV,42.03923877,-125.017415,1129.495693
NA072-108,2016,ROV,42.04019673,-125.0178576,1132.952204
NA072-101,2016,ROV,42.04058866,-125.0177277,1130.676293
NA072-107,2016,ROV,42.04081207,-125.017897,1132.480212
NA072-103,2016,ROV,42.04604387,-125.0179158,1148.599037
NA072-099,2016,ROV,42.71113421,-124.9021994,615.598262
NA072-096,2016,ROV,42.71132909,-124.9032513,624.380753
NA072-098,2016,ROV,42.71242,-124.901717,618.7487049
NA072-081,2016,ROV,42.7125725,-124.9013775,617.8866559
SH_18_12-051,2018,CTD Rosette,42.93,-124.905,
SH2209_eDNA9,2022,CTD Rosette,43.050417,-124.850567,175.9
SH2209_eDNA10,2022,CTD Rosette,43.050417,-124.850567,175.9
SH2209_eDNA11,2022,ROV,43.0507,-124.8431,166.2
SH2209_eDNA12,2022,CTD Rosette,43.188717,-124.7236,224
SH2209_eDNA13,2022,CTD Rosette,43.188717,-124.7236,224
SH2209_eDNA7,2022,CTD Rosette,43.195833,-124.67135,154.17
SH2209_eDNA8,2022,CTD Rosette,43.195833,-124.67135,154.17
SH2209_eDNA15,2022,CTD Rosette,43.56845,-124.804817,568
SH2209_eDNA16,2022,CTD Rosette,43.56845,-124.804817,568
RL-19-05-027,2019,ROV,43.608,-124.8266,582
RL-19-05-025,2019,ROV,43.6099,-124.8277,558
RL1905_eDNA 10,2019,CTD Rosette,43.6748,-124.7018,448
RL-19-05-030,2019,ROV,43.6767,-124.7012,469
RL-19-05-032,2019,ROV,43.6806,-124.7007,464
SH2209_eDNA6,2022,ROV,43.8741,-124.9189,500
SH2209_eDNA4,2022,CTD Rosette,43.893258,-124.926887,531
SH2209_eDNA5,2022,CTD Rosette,43.893258,-124.926887,531
NA072-079,2016,ROV,43.9095785,-125.0878245,51.40321992
NA072-076,2016,ROV,43.91086581,-125.0760968,1224.157702
NA072-078,2016,ROV,43.910934,-125.08149,428.0313539
NA072-077,2016,ROV,43.91103326,-125.0779595,817.512705
NA072-074,2016,ROV,43.9139345,-125.0711685,1220.692011
SH2209_eDNA1,2022,CTD Rosette,43.98257,-124.893418,70.63
SH2209_eDNA2,2022,CTD Rosette,43.98257,-124.893418,70.63
SH_18_12-050,2018,ROV,44.0992,-124.968,331
NA087-008-eDNA-vial60,2017,ROV,44.1204935,-124.5524616,113.293396
RL-19-05-014,2019,ROV,44.642,-124.7415,134
SH_18_12-007,2018,ROV,44.645195,-124.7461683,132
RL-19-05-009,2019,ROV,44.6474,-124.7537,139.5
RL1905_eDNA 4,2019,CTD Rosette,44.6475,-124.765,184
RL1905_eDNA 7,2019,CTD Rosette,44.6475,-124.765,728
SH_18_12-042,2018,CTD Rosette,44.6652,-124.8097,128
SH_18_12-043,2018,CTD Rosette,44.6652,-124.8097,116
SH_18_12-044,2018,CTD Rosette,44.6652,-124.8097,106
SH_18_12-040,2018,ROV,44.6653,-124.8097,348
NA072-045,2016,ROV,45.88670979,-124.6367489,170.9013801
NA072-047,2016,ROV,45.8870612,-124.636562,172.3205537
NA072-055,2016,ROV,46.2223375,-124.6571581,510.7261717
NA072-053,2016,ROV,46.2224515,-124.6564365,495.0712148
NA072-035,2016,ROV,46.22248181,-124.6544781,478.2561506
NA072-031,2016,ROV,46.22757964,-124.6666693,650.05593
NA072-030,2016,ROV,46.22791957,-124.6669392,655.0040011
NA072-028,2016,ROV,46.22888523,-124.6662435,731.6858533
RL1905_eDNA 1,2019,CTD Rosette,46.5333,-124.6013,400
RL-19-05-002,2019,ROV,46.5577,-124.603,336
RL-19-05-004,2019,ROV,46.5665,-124.602,244
NA121-075,2020,ROV,46.782175,-125.264492,1016.207263
NA121-074,2020,ROV,46.78239,-125.264418,1015.776548
NA121-083,2020,ROV,46.78296811,-125.2615961,1071.991815
NA121-068,2020,ROV,46.7830875,-125.262542,1061.639531
NA121-080,2020,ROV,46.78319303,-125.2601975,1081.553248
NA121-072,2020,ROV,46.78325331,-125.2644015,1047.858246
NA121-148,2020,ROV,46.91376261,-124.8914217,283.9091906
NA121-149,2020,ROV,46.914483,-124.892011,228.0351444
NA121-149,2020,ROV,46.914483,-124.892011,228.0351444
NA121-132,2020,ROV,47.0550935,-125.026316,957.2740356
NA121-131,2020,ROV,47.05510581,-125.0263258,956.985784
NA121-113,2020,ROV,47.056621,-125.0284602,1015.078323
NA121-105,2020,ROV,47.0577513,-125.0269711,1001.424967
NA121-043,2020,ROV,47.0818115,-125.0581375,1037.654181
NA121-046,2020,ROV,47.08275023,-125.0590473,1117.723719
NA121-050,2020,ROV,47.08358007,-125.0571014,1097.646027
NA121-025,2020,ROV,47.16965675,-125.1491125,1311.370283
NA121-032,2020,ROV,47.1814325,-125.1408745,1127.642435
NA121-032,2020,ROV,47.1814325,-125.1408745,1127.642435
NA121-040,2020,ROV,47.19198584,-125.1331275,953.465257
NA121-041,2020,ROV,47.1947655,-125.1295468,892.4736633
NA121-042,2020,ROV,47.1980265,-125.1248315,850.9659263
NA121-058,2020,ROV,47.212473,-124.8978325,264.0444394
NA121-063,2020,ROV,47.212923,-124.8982305,263.0062057
NA121-056,2020,ROV,47.2180275,-124.9050925,322.863981
NA121-003,2020,ROV,47.2529105,-125.0357895,507.7466055
NA121-009,2020,ROV,47.2537395,-125.034559,491.086519
NA121-013,2020,ROV,47.2541385,-125.03439,487.459927
NA121-014,2020,ROV,47.25414308,-125.034399,487.4100106
NA121-016,2020,ROV,47.2564645,-125.030201,464.5065462
NA121-020,2020,ROV,47.25661,-125.030206,464.0316024
NA096-012-01-eDNA-vial45,2017,ROV,47.33912904,-124.8212154,911.4600735
NA121-092,2020,ROV,47.36440787,-124.8501034,1068.880563
NA121-101,2020,ROV,47.36637863,-124.8419908,828.9307971
NA121-103,2020,ROV,47.36703547,-124.8390385,788.2852209
NA086-031-eDNA-vial46,2017,ROV,47.430562,-124.89706,923.1252413
NA086-037-eDNA-vial47,2017,ROV,47.4340665,-124.893828,903.8001049
NA086-042-eDNA-vial48,2017,ROV,47.43900554,-124.8894052,830.0091308
NA086-044-eDNA-vial49,2017,ROV,47.44036856,-124.8877682,794.1841851
NA086-050-01-eDNA-vial51,2017,ROV,47.4894561,-124.9912114,647.8604204
NA086-047-01-eDNA-vial50,2017,ROV,47.49290777,-124.9902145,856.7339173
NA072-010,2016,ROV,47.4939865,-124.8867112,171.7866011
NA086-059-01-eDNA-vial52,2017,ROV,47.51460433,-125.03276,760.5493261
NA086-070-01-eDNA-vial54,2017,ROV,47.5224635,-125.0137785,584.4722356
NA086-068-01-eDNA-vial53,2017,ROV,47.52271481,-125.0146879,649.6668351
NA086-127-eDNA-vial58,2017,ROV,47.96593182,-125.409267,409.370442
NA086-141-eDNA-vial59,2017,ROV,47.977159,-125.3436425,592.3540796
NA072-002,2016,ROV,48.102051,-125.5544065,147.1409699
NA086-101-eDNA-vial57,2017,ROV,48.12902579,-125.08373,277.4325723
